SerialNo,PartyID,SymbolID,SymbolName,PoliticalPartyName,DistrictCd,DistrictName,StateID,SCConstID,CenterConstID,OrderID,TotalVoteReceived
1170,18,2507,कमलको फूल,नेपाल जनता पार्टी,10,,1,0,2,18,27
1171,19,2521,गितार,संयुक्त नागरिक पार्टी,10,,1,0,2,19,27
1172,14,2536,जग,बहुजन शक्ति पार्टी,10,,1,0,2,14,25
1173,55,2552,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,पिपुल फर्ष्ट पार्टी,10,,1,0,2,55,25
1174,45,2565,बलिरहेको दियो,नेपाल मातृभूमि पार्टी,10,,1,0,2,45,24
1175,33,2510,काखमा बच्चा लिएको आमा,जय मातृभूमि पार्टी,10,,1,0,2,33,23
1176,21,2601,हँसिया,नेपाल कम्युनिष्ट पार्टी (संयुक्त),10,,1,0,2,21,23
1177,44,2582,रथ,प्रजातान्त्रिक पार्टी नेपाल,10,,1,0,2,44,22
1178,22,2551,दायाँ हातले समातेको मसाल,राष्ट्रिय जनता पार्टी नेपाल,10,,1,0,2,22,21
1179,10,2522,गिलास,राष्ट्रिय जनमोर्चा,10,,1,0,2,10,21
1180,46,2567,बस,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),10,,1,0,2,46,21
1181,29,2579,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,नेपाली जनश्रमदान संस्कृति पार्टी,10,,1,0,2,29,19
1182,36,2549,त्रिशुल,"नागरिक शक्ति, नेपाल",10,,1,0,2,36,17
1183,15,2555,पञ्जा छाप,नेपाल सद्‍भावना पार्टी,10,,1,0,2,15,17
1184,30,2524,गोलाकार भित्र शङ्‌ख,नेपालका लागि नेपाली पार्टी,10,,1,0,2,30,16
1185,48,2509,करूवा,नेपाली काँग्रेस (वी.पी.),10,,1,0,2,48,16
1186,20,2529,घर,नेपाल जनमुक्ति पार्टी,10,,1,0,2,20,15
1187,41,2534,चापाकल (ट्‍युवेल),"राष्ट्रिय उर्जाशील पार्टी, नेपाल",10,,1,0,2,41,14
1188,58,2574,भैँसी,"जनता लोकतान्त्रिक पार्टी, नेपाल",10,,1,0,2,58,13
1189,56,2537,जगर भएको सिंह,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),10,,1,0,2,56,12
1190,42,2595,सिट्ठी,नेपाली जनता दल,10,,1,0,2,42,12
1191,32,2504,उडिरहेको माहुरी,नेशनल रिपब्लिक नेपाल,10,,1,0,2,32,11
1192,37,2530,घोडा,मितेरी पार्टी नेपाल,10,,1,0,2,37,10
1193,31,2564,बज्र,जनप्रिय लोकतान्त्रिक पार्टी,10,,1,0,2,31,9
1194,57,2540,डुङ्‌गा,जन अधिकार पार्टी,10,,1,0,2,57,8
1195,53,2590,श्रीवत्स समृद्धिको प्रतीक,समावेशी समाजवादी पार्टी,10,,1,0,2,53,8
1196,43,2505,ओदान,त्रिमुल नेपाल,10,,1,0,2,43,6
1197,52,2515,खुला किताब,उन्‍नत लोकतन्त्र पार्टी,10,,1,0,2,52,3
1198,4,2528,घण्टी,राष्ट्रिय स्वतन्त्र पार्टी,10,,1,0,3,4,48072
1199,2,2583,रुख,नेपाली काँग्रेस,10,,1,0,3,2,17403
1200,1,2598,सुर्य,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),10,,1,0,3,1,12457
1201,51,2527,गोलो घेराभित्र पानीको बोतल,राष्ट्र निर्माण दल नेपाल,10,,1,0,3,51,2864
1202,34,2501,अँजुलीमा रहेको माटो,श्रम संस्कृति पार्टी,10,,1,0,3,34,2203
1203,5,2604,हलो,राष्ट्रिय प्रजातन्त्र पार्टी,10,,1,0,3,5,2068
1204,3,2557,पाँचकुने तारा,नेपाली कम्युनिष्ट पार्टी,10,,1,0,3,3,1545
1205,50,2531,चकिया (जाँतो),"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",10,,1,0,3,50,1041
1206,6,2542,ढल्केको छाता,"जनता समाजवादी पार्टी, नेपाल",10,,1,0,3,6,451
1207,39,2520,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,सार्वभौम नागरिक पार्टी,10,,1,0,3,39,439
1208,7,2585,लाउड स्पिकर,जनमत पार्टी,10,,1,0,3,7,383
1209,16,2541,डोको,नेपाल जनता संरक्षण पार्टी,10,,1,0,3,16,363
1210,23,2572,भित्ते घडी,समावेशी समाजवादी पार्टी नेपाल,10,,1,0,3,23,328
1211,24,2568,बाँसुरी,राष्ट्रिय परिवर्तन पार्टी,10,,1,0,3,24,164
1212,11,2516,खुलेको एकल आँखा,प्रगतिशील लोकतान्त्रिक पार्टी,10,,1,0,3,11,104
1213,9,2578,मादल,नेपाल मजदुर किसान पार्टी,10,,1,0,3,9,93
